# Aktif filtreler:
# - folder: 698fd5ac-0219-415b-ad42-4a79bd0498ee
#,Domain,Domain Type,Citations,Appearance Rate %,Brand Citations,Competitor Citations,Gap Score,Top Prompts
11,tr.wikipedia.org,reference,12,22.2,0,12,293,"Türkiye'de online market alışverişi için hangi siteleri önerirsin? (5) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (2) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (2) | Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)"
12,dopinggo.com,corporate,12,25.9,0,12,302,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (3) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (2) | Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (2) | Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (1)"
13,ciceksepeti.com,aggregator,12,25.9,0,11,415,Okul ve kırtasiye alışverişini online nereden yapabilirim? (3) | Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (2) | Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (2) | Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
14,sokmarket.com.tr,corporate,12,18.5,0,4,47,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (4) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (4) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1) | Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
15,beymen.com,corporate,11,29.6,2,9,181,"Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (2) | Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (2) | Orijinal marka çanta ve aksesuarı online nereden alınır? (2) | Havlu ve bornoz setini online nereden almalıyım? (1) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1)"
16,a101.com.tr,corporate,10,11.1,0,1,11,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (8) | İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
17,evidea.com,corporate,10,25.9,3,10,264,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (3) | Nevresim takımı almak için en iyi online siteler hangileri? (2) | Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1) | Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1) | Havlu ve bornoz setini online nereden almalıyım? (1)"
18,magnadijital.com.tr,corporate,10,11.1,0,10,222,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (5) | Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (3) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (2)"
19,neoldu.com.tr,corporate,9,18.5,0,9,213,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (3) | Türkiye'de online alışveriş için en güvenilir siteler hangileri? (3) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1) | Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
20,faprika.com,corporate,9,22.2,0,9,220,"Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (2) | Türkiye'de online alışveriş için en güvenilir siteler hangileri? (2) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (2) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1) | Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (1)"
21,jetstok.com,corporate,8,22.2,0,8,293,Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | Türkiye'de online alışveriş için en güvenilir siteler hangileri? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1) | Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (1) | Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (1)
22,en.wikipedia.org,reference,8,18.5,0,8,190,"Türkiye'de online market alışverişi için hangi siteleri önerirsin? (3) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (2) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1) | Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (1)"
23,sinpas.com.tr,corporate,8,18.5,0,7,83,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (2) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (2) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (1)
24,avansas.com,corporate,7,11.1,0,7,78,"Okul ve kırtasiye alışverişini online nereden yapabilirim? (5) | Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1)"
25,webtekno.com,editorial,7,22.2,0,7,171,İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1) | Türkiye'de online alışveriş için en güvenilir siteler hangileri? (1) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)
26,englishhome.com,competitor,7,14.8,2,7,115,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (3) | Havlu ve bornoz setini online nereden almalıyım? (2) | Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1) | Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)"
27,techreview.com.tr,editorial,7,14.8,0,7,80,"Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (2) | Türkiye'de online alışveriş için en güvenilir siteler hangileri? (2) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (2) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)"
28,karaca.com,competitor,7,18.5,2,7,59,"Havlu ve bornoz setini online nereden almalıyım? (2) | Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1) | Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (1) | Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)"
29,ikea.com.tr,corporate,6,11.1,0,5,111,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (4) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (1) | Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)"
30,madamecoco.com,competitor,6,14.8,3,6,69,Havlu ve bornoz setini online nereden almalıyım? (2) | Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (2) | Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1) | Nevresim takımı almak için en iyi online siteler hangileri? (1)
31,cimri.com,aggregator,6,14.8,2,6,92,"Havlu ve bornoz setini online nereden almalıyım? (2) | Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
32,yatasbedding.com.tr,competitor,6,7.4,3,6,64,Nevresim takımı almak için en iyi online siteler hangileri? (5) | Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)
33,teknosa.com,corporate,6,14.8,0,6,207,"Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
34,bizimtoptan.com.tr,editorial,5,7.4,0,1,11,Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (3) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2)
35,kuponla.com,corporate,5,7.4,0,4,43,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (4) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (1)
36,deal-tr.com,corporate,5,11.1,0,5,56,Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (2) | Türkiye'de online alışveriş için en güvenilir siteler hangileri? (2) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
37,ininal.com,corporate,5,11.1,0,5,56,İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (2) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1)
38,vatanbilgisayar.com,corporate,5,7.4,0,5,107,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (4) | Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
39,hurriyet.com.tr,editorial,5,11.1,0,5,111,"Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (2) | Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (2) | Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (1)"
40,toptantr.com,editorial,5,3.7,0,2,21,Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (5)
41,technopat.net,ugc,5,7.4,0,5,107,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (4) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
42,sonsepet.com,corporate,5,11.1,0,1,11,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (2) | Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
43,samsonite.com.tr,corporate,5,3.7,0,3,31,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (5)
44,pazarama.com,aggregator,5,18.5,1,5,142,"İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1) | Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (1) | Havlu ve bornoz setini online nereden almalıyım? (1) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
45,carrefoursa.com,corporate,5,11.1,0,3,33,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (2) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1)
46,watsons.com.tr,corporate,5,3.7,0,4,41,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (5)
47,chakra.com.tr,corporate,5,18.5,2,5,71,"Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1) | Havlu ve bornoz setini online nereden almalıyım? (1) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1) | Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (1) | Nevresim takımı almak için en iyi online siteler hangileri? (1)"
48,yandex.com.tr,aggregator,4,7.4,0,3,32,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (3) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
49,getir.com,corporate,4,11.1,0,3,33,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1) | Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (1)
50,contigo.com.tr,corporate,4,3.7,0,4,83,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (4)
51,happycenter.com.tr,corporate,4,3.7,0,0,0,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (4)
52,tac.com.tr,corporate,4,7.4,2,4,43,Havlu ve bornoz setini online nereden almalıyım? (2) | Nevresim takımı almak için en iyi online siteler hangileri? (2)
53,ozdilekteyim.com,you,4,11.1,3,3,0,Havlu ve bornoz setini online nereden almalıyım? (2) | Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1) | Nevresim takımı almak için en iyi online siteler hangileri? (1)
54,babymall.com.tr,corporate,4,3.7,0,0,0,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (4)
55,24bottles.com.tr,corporate,4,3.7,0,0,0,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (4)
56,techinside.com,corporate,4,3.7,0,0,0,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (4)
57,donanimhaber.com,ugc,4,11.1,0,4,89,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1) | Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (1)
58,koctas.com.tr,competitor,4,7.4,0,4,43,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2) | Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (2)"
59,indirimkodu.donanimhaber.com,ugc,4,3.7,0,4,41,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (4)
60,webrazzi.com,editorial,4,7.4,0,1,11,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (3) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
61,isbank.com.tr,corporate,4,7.4,0,4,43,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (2) | Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (2)
62,livapastacilik.com,corporate,4,3.7,0,0,0,Yaş pasta ve özel gün ürünlerini online sipariş edebileceğim siteler hangileri? (4)
63,aa.com.tr,corporate,4,11.1,0,2,22,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
64,doquhome.com.tr,competitor,4,7.4,2,4,43,Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (2) | Nevresim takımı almak için en iyi online siteler hangileri? (2)
65,kizlarsoruyor.com,ugc,4,3.7,0,4,41,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (4)
66,hamzaerol.com.tr,corporate,4,7.4,0,2,21,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (3) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
67,bonnenuit.com.tr,corporate,4,3.7,0,0,0,Yaş pasta ve özel gün ürünlerini online sipariş edebileceğim siteler hangileri? (4)
68,puffy.com.tr,corporate,4,7.4,2,4,43,Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (2) | Nevresim takımı almak için en iyi online siteler hangileri? (2)
69,guvenilirfirma.com.tr,corporate,4,11.1,0,4,44,"Türkiye'de online alışveriş için en güvenilir siteler hangileri? (2) | Shein ve Temu yerine güvenli ve yerli alternatif alışveriş siteleri hangileri? (1) | Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
70,dilaykozmetik.com,editorial,3,3.7,0,2,21,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (3)
71,dr.com.tr,corporate,3,3.7,0,3,31,Okul ve kırtasiye alışverişini online nereden yapabilirim? (3)
72,egirisim.com,corporate,3,7.4,0,1,11,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
73,gallerycrystal.com.tr,corporate,3,3.7,1,3,41,Nevresim takımı almak için en iyi online siteler hangileri? (3)
74,ersinoutdoor.com,corporate,3,7.4,0,3,64,"Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1)"
75,youtube.com,ugc,3,3.7,0,0,0,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (3)
76,yengec.co,corporate,3,7.4,0,3,32,Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1)
77,yemeksepetimarket.com,corporate,3,7.4,0,3,32,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (2) | Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1)
78,bauhaus.com.tr,corporate,3,3.7,0,3,31,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (3)"
79,similarweb.com,corporate,3,7.4,0,3,64,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (2) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)"
80,porland.com,corporate,3,7.4,1,3,43,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (2) | Nevresim takımı almak için en iyi online siteler hangileri? (1)"
81,picodi.com,corporate,3,3.7,0,3,31,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (3)
82,perfumepoint.com.tr,corporate,3,3.7,0,3,31,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (3)
83,ozgurkocaeli.com.tr,corporate,3,7.4,0,3,32,Türkiye'de online alışveriş için en güvenilir siteler hangileri? (2) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
84,ozdilekevtekstili.com.tr,corporate,3,7.4,3,2,0,Havlu ve bornoz setini online nereden almalıyım? (2) | Nevresim takımı almak için en iyi online siteler hangileri? (1)
85,miniso.com.tr,corporate,3,7.4,0,0,0,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2) | Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
86,ceyizci.com,corporate,3,3.7,0,2,21,Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (3)
87,meshur.co,corporate,3,7.4,0,3,32,Aynı siteden hem giyim/ev tekstili hem market alışverişi yapabileceğim online platform var mı? (2) | Shein ve Temu yerine güvenli ve yerli alternatif alışveriş siteleri hangileri? (1)
88,maximum.com.tr,corporate,3,3.7,0,3,31,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (3)
89,kayakirtasiye.com.tr,corporate,3,3.7,0,2,21,Okul ve kırtasiye alışverişini online nereden yapabilirim? (3)
90,creosoft.com.tr,corporate,3,7.4,0,3,32,"Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (2) | Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)"
91,andoutdoor.com,corporate,3,3.7,0,3,62,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (3)"
92,idefix.com,aggregator,3,3.7,0,3,31,Okul ve kırtasiye alışverişini online nereden yapabilirim? (3)
93,haremlique.com,corporate,3,7.4,2,3,11,Nevresim takımı almak için en iyi online siteler hangileri? (2) | Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
94,campreyon.com,corporate,2,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2)"
95,altinbasak.com,competitor,2,3.7,2,2,0,Havlu ve bornoz setini online nereden almalıyım? (2)
96,altug.com.tr,corporate,2,3.7,0,0,0,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (2)
97,argeuscamp.com,corporate,2,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2)"
98,atlaskamp.com,corporate,2,3.7,0,2,41,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2)"
99,avantajix.com,ugc,2,3.7,0,2,21,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (2)
100,avmarketi.com,corporate,2,3.7,0,0,0,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (2)
101,bendevar.com,corporate,2,3.7,0,1,10,Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2)
102,bizdemevcut.com.tr,corporate,2,7.4,0,0,0,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1) | Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
103,buldumki.com,corporate,2,3.7,0,1,10,Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (2)
104,cevrepastaneleri.com,corporate,2,3.7,0,0,0,Yaş pasta ve özel gün ürünlerini online sipariş edebileceğim siteler hangileri? (2)
105,ceyizdiyari.com,corporate,2,3.7,0,2,21,Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (2)
106,cliff.com.tr,corporate,2,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2)"
107,cuerro.com,corporate,2,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (2)
108,decathlon.com.tr,corporate,2,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2)"
109,destek.kmk.net.tr,corporate,2,7.4,0,2,21,"Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1) | Yerli ve milli e-ticaret sitelerini desteklemek istiyorum, hangilerini önerirsin? (1)"
110,dopigo.com,corporate,2,7.4,0,2,21,Türkiye'de online market alışverişi için hangi siteleri önerirsin? (1) | İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
111,eastpak.com.tr,corporate,2,3.7,0,2,21,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (2)
112,egaranti.com,corporate,2,3.7,0,2,21,Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (2)
113,eraykirtasiye.com.tr,corporate,2,3.7,0,1,10,Okul ve kırtasiye alışverişini online nereden yapabilirim? (2)
114,erkamp.com.tr,corporate,2,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (2)"
